ID,Title,Year,Duration,AgeRating,Rating,Votes
97,Incendies,2010,2h 11m,R,8.3,(238K)
98,The Apartment,1960,2h 5m,Approved,8.3,(213K)
99,Lawrence of Arabia,1962,3h 47m,PG,8.3,(334K)
100,2001: A Space Odyssey,1968,2h 29m,G,8.3,(766K)
101,Reservoir Dogs,1992,1h 39m,R,8.3,(1.1M)
102,Scarface,1983,2h 50m,R,8.3,(988K)
103,Heat,1995,2h 50m,R,8.3,(777K)
104,Double Indemnity,1944,1h 47m,Approved,8.3,(177K)
105,Up,2009,1h 36m,PG,8.3,(1.2M)
106,North by Northwest,1959,2h 16m,Approved,8.3,(365K)
107,M,1931,1h 39m,Passed,8.3,(180K)
108,Full Metal Jacket,1987,1h 56m,R,8.2,(835K)
109,Citizen Kane,1941,1h 59m,PG,8.2,(487K)
110,Vertigo,1958,2h 8m,PG,8.2,(452K)
111,Amélie,2001,2h 2m,R,8.3,(827K)
112,Like Stars on Earth,2007,2h 42m,PG,8.3,(226K)
113,A Separation,2011,2h 3m,PG-13,8.3,(273K)
114,To Kill a Mockingbird,1962,2h 9m,Approved,8.3,(347K)
115,Die Hard,1988,2h 12m,R,8.2,(1M)
116,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,(850K)
117,The Sting,1973,2h 9m,PG,8.2,(295K)
118,A Clockwork Orange,1971,2h 16m,R,8.2,(922K)
119,Metropolis,1927,2h 33m,Not Rated,8.3,(197K)
120,Snatch,2000,1h 42m,R,8.2,(959K)
121,1917,2019,1h 59m,R,8.2,(746K)
122,Oppenheimer,2023,3h,R,8.3,(947K)
123,L.A. Confidential,1997,2h 18m,R,8.2,(649K)
124,One Battle After Another,2025,2h 41m,R,8.3,(100K)
125,Downfall,2004,2h 36m,R,8.2,(394K)
126,Bicycle Thieves,1948,1h 29m,Not Rated,8.2,(189K)
127,Dangal,2016,2h 41m,Not Rated,8.3,(233K)
128,The Wolf of Wall Street,2013,3h,R,8.2,(1.7M)
129,Green Book,2018,2h 10m,PG-13,8.2,(657K)
130,The Truman Show,1998,1h 43m,PG,8.2,(1.3M)
131,Hamilton,2020,2h 40m,PG-13,8.3,(134K)
132,Batman Begins,2005,2h 20m,PG-13,8.2,(1.7M)
133,Taxi Driver,1976,1h 54m,R,8.2,(999K)
134,For a Few Dollars More,1965,2h 12m,R,8.2,(294K)
135,Judgment at Nuremberg,1961,2h 59m,Approved,8.3,(94K)
136,Shutter Island,2010,2h 18m,R,8.2,(1.6M)
137,Some Like It Hot,1959,2h 1m,Approved,8.2,(300K)
138,Jurassic Park,1993,2h 7m,PG-13,8.2,(1.1M)
139,The Chaos Class Failed the Class,1975,1h 35m,,8.6,(28K)
140,The Kid,1921,1h 8m,Passed,8.2,(143K)
141,There Will Be Blood,2007,2h 38m,R,8.2,(687K)
142,The Father,2020,1h 37m,PG-13,8.2,(220K)
143,All About Eve,1950,2h 18m,Approved,8.2,(147K)
144,The Sixth Sense,1999,1h 47m,PG-13,8.2,(1.1M)
145,Ran,1985,2h 40m,R,8.2,(148K)
146,Casino,1995,2h 58m,R,8.2,(604K)
147,No Country for Old Men,2007,2h 2m,R,8.2,(1.2M)
148,The Thing,1982,1h 49m,R,8.2,(510K)
149,Top Gun: Maverick,2022,2h 10m,PG-13,8.2,(808K)
150,Unforgiven,1992,2h 10m,R,8.2,(461K)
151,Pan's Labyrinth,2006,1h 58m,R,8.2,(734K)
152,Kill Bill: Vol. 1,2003,1h 51m,R,8.2,(1.3M)
153,Prisoners,2013,2h 33m,R,8.2,(898K)
154,A Beautiful Mind,2001,2h 15m,PG-13,8.2,(1M)
155,The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,(139K)
156,Howl's Moving Castle,2004,1h 59m,PG,8.2,(496K)
157,Finding Nemo,2003,1h 40m,G,8.2,(1.2M)
158,Yojimbo,1961,1h 50m,Not Rated,8.2,(140K)
159,The Best of Youth,2003,6h 14m,R,8.4,(27K)
160,The Great Escape,1963,2h 52m,Approved,8.2,(273K)
161,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,(595K)
162,The Elephant Man,1980,2h 4m,PG,8.2,(277K)
163,Klaus,2019,1h 36m,PG,8.2,(221K)
164,Dial M for Murder,1954,1h 45m,PG,8.2,(201K)
165,Gone with the Wind,1939,3h 58m,G,8.2,(351K)
166,The Secret in Their Eyes,2009,2h 9m,R,8.2,(237K)
167,Chinatown,1974,2h 10m,R,8.1,(370K)
168,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,(642K)
169,V for Vendetta,2005,2h 12m,R,8.1,(1.2M)
170,Rashomon,1950,1h 28m,Not Rated,8.1,(193K)
171,Inside Out,2015,1h 35m,PG,8.1,(887K)
172,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,2h 35m,R,8.5,(45K)
173,Catch Me If You Can,2002,2h 21m,PG-13,8.1,(1.2M)
174,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,(593K)
175,Trainspotting,1996,1h 33m,R,8.1,(758K)
176,The Bridge on the River Kwai,1957,2h 41m,PG,8.1,(245K)
177,Raging Bull,1980,2h 9m,R,8.1,(402K)
178,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,(1M)
179,Fargo,1996,1h 38m,R,8.1,(767K)
180,The Wild Robot,2024,1h 42m,PG,8.2,(200K)
181,Warrior,2011,2h 20m,PG-13,8.1,(521K)
182,Dead Poets Society,1989,2h 8m,PG,8.1,(616K)
183,Million Dollar Baby,2004,2h 12m,PG-13,8.1,(755K)
184,Ben-Hur,1959,3h 32m,G,8.1,(267K)
185,Mad Max: Fury Road,2015,2h,R,8.1,(1.2M)
186,Barry Lyndon,1975,3h 5m,PG,8.1,(198K)
187,Gran Torino,2008,1h 56m,R,8.1,(849K)
188,My Neighbor Totoro,1988,1h 26m,G,8.1,(418K)
189,Children of Heaven,1997,1h 29m,PG,8.2,(88K)
190,Hacksaw Ridge,2016,2h 19m,R,8.1,(656K)
191,The Grand Budapest Hotel,2014,1h 39m,R,8.1,(944K)
